省份,区站号,站名
安徽,58015,砀山
安徽,58016,萧县
安徽,58102,亳州
安徽,58107,临泉
安徽,58108,界首
安徽,58109,太和
安徽,58112,天柱山
安徽,58113,濉溪
安徽,58114,涡阳
安徽,58116,淮北
安徽,58117,利辛
安徽,58118,蒙城
安徽,58122,宿州
安徽,58125,灵璧
安徽,58126,泗县
安徽,58127,怀远
安徽,58128,固镇
安徽,58129,五河
安徽,58202,阜南
安徽,58203,阜阳
安徽,58210,颍上
安徽,58212,凤台
安徽,58214,霍邱
安徽,58215,寿县
安徽,58220,长丰
安徽,58221,蚌埠
安徽,58222,凤阳
安徽,58223,明光
安徽,58224,淮南
安徽,58225,定远
安徽,58234,来安
安徽,58236,滁州
安徽,58240,天长
安徽,58306,金寨
安徽,58311,六安
安徽,58314,霍山
安徽,58316,舒城
安徽,58317,岳西
安徽,58319,桐城
安徽,58320,肥西
安徽,58321,合肥
安徽,58323,肥东
安徽,58326,巢湖
安徽,58327,庐江
安徽,58329,无为
安徽,58330,含山
安徽,58331,和县
安徽,58334,芜湖
安徽,58335,当涂
安徽,58336,马鞍山
安徽,58337,繁昌
安徽,58338,芜湖县
安徽,58417,宿松
安徽,58429,铜陵
安徽,58431,南陵
安徽,58432,泾县
安徽,58433,宣城
安徽,58435,旌德
安徽,58436,宁国
安徽,58437,黄山
安徽,58441,广德
安徽,58442,郎溪
安徽,58520,祁门
安徽,58523,黟县
安徽,58530,歙县
安徽,58531,屯溪
安徽,58534,休宁
北京,54398,顺义
北京,54399,海淀
北京,54406,延庆
北京,54416,密云
北京,54419,怀柔
北京,54421,密云上甸子
北京,54424,平谷
北京,54431,通州
北京,54433,朝阳
北京,54499,昌平
北京,54501,斋堂
北京,54505,门头沟
北京,54511,北京
北京,54513,石景山
北京,54514,丰台
北京,54594,大兴
北京,54596,房山
北京,54597,霞云岭
福建,58724,光泽
福建,58725,邵武
福建,58730,武夷山
福建,58731,浦城
福建,58734,建阳
福建,58735,松溪
福建,58736,政和
福建,58737,建瓯
福建,58744,寿宁
福建,58747,周宁
福建,58748,福安
福建,58749,柘荣
福建,58754,福鼎
福建,58818,宁化
福建,58819,清流
福建,58820,泰宁
福建,58822,建宁
福建,58823,顺昌
福建,58824,明溪
福建,58826,沙县
福建,58828,三明
福建,58836,古田
福建,58837,尤溪
福建,58839,闽清
