stid,ok,name,start_date,end_date,lat,lon,heigh,height2,type,disappear_time,remark,gjjhzh_194_remark,ybzh_2170_remark,,,,红色112
50136,黑龙江,漠河,195704,200012,52.96666667,122.5166667,438.5,439.7,基准站,缺195807、195808,1992年改基准站,,一般站,,,,
50137,黑龙江,北极村,200201,201012,53.46666667,122.3666667,296,297.3,,,,,一般站,,,,
50246,黑龙江,塔河,196012,200012,52.35,124.7166667,361.9,363,基本站,缺196111、196209-197112,,,一般站,,,,
50247,黑龙江,呼中,198101,201012,52.03333333,123.5666667,514.5,514.9,,,,,一般站,,,,
50349,黑龙江,新林,197201,200012,51.06666667,124.4,501.5,502.2,基本站,,,,一般站,,,,
50353,黑龙江,呼玛,195401,201207,51.73333333,126.6333333,173.9,175.6,基本站,,,国际交换站,一般站,,,,
50425,内蒙古,额尔古纳,195701,200012,50.25,120.1833333,581.4,582.3,基本站,,,,一般站,,,,
50431,内蒙古,根河,198101,201012,50.78333333,121.5166667,717,718.2,,,,,一般站,,,,
50434,内蒙古,图里河,195701,201207,50.48333333,121.6833333,732.6,733.7,基准站,,1992年改基准站,国际交换站,一般站,,,,
50442,黑龙江,大兴安岭,196607,200012,50.4,124.1166667,371.7,373.4,基本站,,,,一般站,,,,
50445,内蒙古,鄂伦春旗,198101,201012,50.58333333,123.7333333,423.7,424.7,,,,,一般站,,,,
50468,黑龙江,黑河,195901,200012,50.25,127.45,166.4,167.4,基本站,,,,一般站,,,,
50514,内蒙古,满洲里,195612,200012,49.58333333,117.3166667,661.8,662.7,基准站,,1991年改基准站,,一般站,,,,
50524,内蒙古,陈巴尔虎旗,198101,201012,49.31666667,119.4333333,576.6,578.5,,,,,一般站,,,,
50525,内蒙古,鄂温克旗,198101,201012,49.15,119.75,620.8,621.6,,,,,一般站,,,,
50526,内蒙古,牙克石,198101,201012,49.28333333,120.7,668.8,670,,,,,一般站,,,,
50527,内蒙古,海拉尔,195101,201207,49.25,119.7,649.6,650.4,基本站,,,国际交换站,一般站,,,,
50548,内蒙古,小二沟,195701,200012,49.2,123.7166667,286.1,287.2,基本站,,,,一般站,,,,
50557,黑龙江,嫩江,195101,201207,49.01666667,125.2333333,242.2,243,基本站,,,国际交换站,一般站,,,,
50564,黑龙江,孙吴,195401,201207,49.43333333,127.35,234.5,236,基准站,,1992年改基准站,国际交换站,一般站,,,,
50566,黑龙江,逊克,198101,201012,49.55,128.4666667,116,120,,,,,一般站,,,,
50603,内蒙古,新巴尔虎右旗,195710,200012,48.06666667,116.8166667,554.2,556,基本站,,,,一般站,,,,
50618,内蒙古,新巴尔虎左旗,195811,200012,48.21666667,118.2666667,642,644.6,基本站,,,,一般站,,,,
50632,内蒙古,博克图,195101,201207,48.76666667,121.9166667,739.7,739.7,基准站,,1992年改基准站,国际交换站,,,,,
50639,内蒙古,扎兰屯,195202,200012,48,122.7333333,306.5,308.5,基本站,,,,一般站,,,,
50645,内蒙古,莫力达瓦旗,198101,201012,48.48333333,124.4833333,195,196.5,,,,,一般站,,,,
50646,黑龙江,讷河,198101,201012,48.48333333,124.85,202.8,204.4,,,,,一般站,,,,
50647,内蒙古,阿荣旗,198101,201012,48.13333333,123.4833333,236.2,237.2,,,,,一般站,,,,
50655,黑龙江,五大连池,198101,201012,48.05,126.1833333,266.8,267.7,,,,,一般站,,,,
50656,黑龙江,北安,195809,200012,48.25,126.05,278.4,276.9,基本站,,,,一般站,,,,
50658,黑龙江,克山,195101,201207,48.05,125.8833333,236,239.8,基本站,,,国际交换站,一般站,,,,
50659,黑龙江,克东,198101,201012,48.03333333,126.25,291.8,293.1,,,,,一般站,,,,
50673,黑龙江,嘉荫,198101,201012,48.88333333,130.4,90.4,92.3,,,,,一般站,,,,
50674,黑龙江,乌伊岭,198101,201012,48.56666667,129.4333333,404.5,404.9,,,,,一般站,,,,
50727,内蒙古,阿尔山,195206,201207,47.01666667,119.9333333,997.2,997.7,基本站,,,国际交换站,一般站,,,,
50739,黑龙江,龙江,198101,201012,47.03333333,123.1833333,190,191.6,,,,,一般站,,,,
50741,黑龙江,甘南,198101,201012,47.93333333,123.05,185.2,186.3,,,,,一般站,,,,
50742,黑龙江,富裕,195610,200012,47.8,124.4833333,162.7,163.8,基准站,,1994年改基准站,,一般站,,,,
50745,黑龙江,齐齐哈尔,195101,201207,47.38333333,123.9166667,147.1,148.5,基本站,,,国际交换站,一般站,,,,
50749,黑龙江,林甸,198101,201012,47.18333333,124.0833333,154.6,159.9,,,,,一般站,,,,
50750,黑龙江,依安,198101,201012,47.9,125.3,226.4,228.8,,,,,一般站,,,,
50755,黑龙江,拜泉,198101,201012,47.6,126.1,230.7,232.4,,,,,一般站,,,,
50756,黑龙江,海伦,195207,201207,47.45,126.9666667,239.2,240.4,基准站,,1992年改基准站,国际交换站,一般站,,,,
50758,黑龙江,明水,195301,200012,47.18333333,125.9,246,248.3,基本站,,,,一般站,,,,
50767,黑龙江,绥棱,198101,201012,47.23333333,127.1,202.7,204,,,,,一般站,,,,
50772,黑龙江,五营,198101,201012,48.1,129.2333333,288,299.1,,,,,一般站,,,,
50774,黑龙江,伊春,195510,200012,47.7,128.0833333,264.8,259.1,基本站,,,,一般站,,,,
